날짜,최강록
2025-12-09,0.73273
2025-12-10,0.70996
2025-12-11,0.67439
2025-12-12,0.66016
2025-12-13,1.02155
2025-12-14,1.08558
2025-12-15,1.05997
2025-12-16,7.78829
2025-12-17,13.7668
2025-12-18,11.30113
2025-12-19,9.89969
2025-12-20,12.93448
2025-12-21,12.60297
2025-12-22,7.64174
2025-12-23,10.52713
2025-12-24,17.89144
2025-12-25,23.14718
2025-12-26,16.88696
2025-12-27,16.39041
2025-12-28,15.08003
2025-12-29,9.45436
2025-12-30,12.76374
2025-12-31,20.73842
2026-01-01,20.74269
2026-01-02,13.42676
2026-01-03,13.55338
2026-01-04,13.31436
2026-01-05,9.00476
2026-01-06,34.1225
2026-01-07,42.14981
2026-01-08,26.69701
2026-01-09,19.23881
2026-01-10,19.15486
2026-01-11,18.75649
2026-01-12,14.05563
2026-01-13,100.0
2026-01-14,90.46738
