날짜,후덕죽
2025-12-09,1.5358
2025-12-10,1.5214
2025-12-11,1.39662
2025-12-12,1.21424
2025-12-13,2.93722
2025-12-14,2.87003
2025-12-15,3.0572
2025-12-16,10.80341
2025-12-17,13.52946
2025-12-18,9.10923
2025-12-19,6.47917
2025-12-20,12.54559
2025-12-21,13.39028
2025-12-22,7.34306
2025-12-23,48.88654
2025-12-24,56.2056
2025-12-25,52.94202
2025-12-26,32.94778
2025-12-27,34.41159
2025-12-28,28.94989
2025-12-29,17.35457
2025-12-30,42.68573
2025-12-31,69.83106
2026-01-01,66.59627
2026-01-02,35.04031
2026-01-03,35.861
2026-01-04,32.71741
2026-01-05,17.86811
2026-01-06,78.42196
2026-01-07,100.0
2026-01-08,62.03205
2026-01-09,48.55058
2026-01-10,55.49529
2026-01-11,47.6003
2026-01-12,25.98387
2026-01-13,41.67786
2026-01-14,37.60798
