날짜,정호영
2025-12-09,3.33729
2025-12-10,3.87173
2025-12-11,3.75296
2025-12-12,4.08551
2025-12-13,3.11163
2025-12-14,7.13776
2025-12-15,6.67458
2025-12-16,7.18527
2025-12-17,9.21615
2025-12-18,10.8551
2025-12-19,11.93586
2025-12-20,18.44418
2025-12-21,19.01425
2025-12-22,15.98574
2025-12-23,45.89073
2025-12-24,66.43705
2025-12-25,76.16389
2025-12-26,48.13539
2025-12-27,46.2589
2025-12-28,49.80997
2025-12-29,38.04038
2025-12-30,59.86935
2025-12-31,80.21377
2026-01-01,81.29453
2026-01-02,55.11876
2026-01-03,100.0
2026-01-04,88.01662
2026-01-05,50.07125
2026-01-06,70.14251
2026-01-07,72.38717
2026-01-08,60.2494
2026-01-09,53.59857
2026-01-10,57.2684
2026-01-11,64.53681
2026-01-12,38.56294
2026-01-13,40.66508
2026-01-14,40.6057
