날짜,요리괴물
2025-12-09,0
2025-12-10,0
2025-12-11,0
2025-12-12,0
2025-12-13,0
2025-12-14,0
2025-12-15,0
2025-12-16,0
2025-12-17,7
2025-12-18,6
2025-12-19,10
2025-12-20,6
2025-12-21,6
2025-12-22,5
2025-12-23,35
2025-12-24,75
2025-12-25,61
2025-12-26,56
2025-12-27,45
2025-12-28,40
2025-12-29,29
2025-12-30,78
2025-12-31,100
2026-01-01,74
2026-01-02,52
2026-01-03,45
2026-01-04,36
2026-01-05,31
2026-01-06,75
2026-01-07,77
2026-01-08,39
2026-01-09,33
2026-01-10,26
2026-01-11,22
2026-01-12,16
2026-01-13,60
2026-01-14,82
2026-01-15,43
