날짜,술 빚는 윤주모
2025-12-09,0.32261
2025-12-10,0.3432
2025-12-11,0.39811
2025-12-12,0.35693
2025-12-13,0.28142
2025-12-14,0.22308
2025-12-15,0.25054
2025-12-16,26.15574
2025-12-17,44.42804
2025-12-18,30.74441
2025-12-19,23.26251
2025-12-20,26.48865
2025-12-21,26.23468
2025-12-22,17.66139
2025-12-23,17.67512
2025-12-24,25.81597
2025-12-25,34.6501
2025-12-26,24.00041
2025-12-27,21.53275
2025-12-28,25.08151
2025-12-29,16.8171
2025-12-30,76.64138
2025-12-31,100.0
2026-01-01,88.5472
2026-01-02,66.92178
2026-01-03,53.27247
2026-01-04,49.00641
2026-01-05,32.43985
2026-01-06,64.29282
2026-01-07,70.26117
2026-01-08,48.20674
2026-01-09,38.03411
2026-01-10,38.39104
2026-01-11,49.08535
2026-01-12,25.006
2026-01-13,24.26811
2026-01-14,24.2887
